nama_resto,alamat,kecamatan,kategori,Phones,jumlah_review,rating,google_maps,latitude,longitude,website,domain,working_hour,facilities,average_price,type_resto
Mie Ayam Bandung 59,"Jl. Beskalan No.35, Daerah Istimewa Yogyakarta 55122",Daerah Istimewa Yogyakarta 55122,"Restoran Mie,Kedai Sarapan,Restoran Sunda","0813-2686-7064, +62 813-2686-7064",1538,4.7,https://www.google.com/maps?cid=6421842152618672878,-7.796924,110.3626406,,,"Rabu:[06.30-20.00], Kamis:[06.30-20.00], Jumat:[06.30-20.00], Sabtu:[06.30-20.00], Minggu:[06.00-11.00], Senin:[Tutup], Selasa:[06.30-20.00]",tempat parkir,1,2
28 Coffee Seturan,"Jalan Pemancar Sel., komplek Plaza Seturan Kavling 10A, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Kledokan, Caturtunggal",Kedai Kopi,"0812-5329-0766, +62 812-5329-0766",202,4.6,https://www.google.com/maps?cid=17422850917456630994,-7.7719293,110.4092413,https://instagram.com/28coffee.id?igshid=6io5v4ewyon6,instagram.com,"Rabu:[Buka 24 jam], Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam]","tempat parkir, colokan, wifi, mushalla / tempat shalat, live music",3,3
Chunda Resto,"Santan, Kalongan, RT.08/RW.29, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55282","RT.08/RW.29, Maguwoharjo",Restoran,"0878-7271-7515, +62 878-7271-7515",527,4.3,https://www.google.com/maps?cid=5900396285140084863,-7.7838743,110.4185465,,,"Rabu:[11.00-23.00], Kamis:[11.00-23.00], Jumat:[11.00-23.00], Sabtu:[11.00-23.00], Minggu:[11.00-23.00], Senin:[11.00-23.00], Selasa:[11.00-23.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
Lalawuh Sunda,"Jl. Tambak, Kembang, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184","Kembang, Ngestiharjo",Restoran Sunda,"(0274) 5018852, +62 274 5018852",1948,4.1,https://www.google.com/maps?cid=282837696616370276,-7.7800674,110.3502119,,,"Rabu:[10.00-22.00], Kamis:[10.00-22.00], Jumat:[10.00-22.00], Sabtu:[10.00-22.00], Minggu:[10.00-22.00], Senin:[10.00-22.00], Selasa:[10.00-22.00]","tempat parkir, mushalla / tempat shalat",3,4
R&B Grill Yogyakarta,"Jl. R.W. Monginsidi No.37, Karangwaru, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55241",Karangwaru,"Restoran Steak,Restoran","0812-2592-8282, +62 812-2592-8282",4522,4.6,https://www.google.com/maps?cid=16165462414877484956,-7.7789694,110.363068,,,"Rabu:[07.00-22.30], Kamis:[07.00-22.30], Jumat:[07.00-22.30], Sabtu:[07.00-22.30], Minggu:[07.00-22.30], Senin:[07.00-22.30], Selasa:[07.00-22.30]","tempat parkir, wifi, colokan",5,5
R&B Grill Jogja - 2nd Building,"Jl. Tri Margo No.26, Karangwaru, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55241",Karangwaru,Restoran Masakan Barat,"0812-2592-8585, +62 812-2592-8585",321,4.7,https://www.google.com/maps?cid=9659979454068760732,-7.7792939,110.363358,,,"Rabu:[11.00-22.30], Kamis:[11.00-22.30], Jumat:[11.00-22.30], Sabtu:[11.00-22.30], Minggu:[11.00-22.30], Senin:[11.00-22.30], Selasa:[11.00-22.30]","tempat parkir, wifi, colokan",5,5
Metropole Coffee,"Jl. Nitikan Baru No.18, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55162",Sorosutan,Kedai Kopi,,142,4.5,https://www.google.com/maps?cid=10800470708783508326,-7.8178609,110.3827563,,,"Rabu:[12.00-22.00], Kamis:[12.00-22.00], Jumat:[12.00-22.00], Sabtu:[12.00-22.00], Minggu:[12.00-22.00], Senin:[12.00-22.00], Selasa:[12.00-22.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
Mediterranea Restaurant by Kamil,"Jl. Tirtodipuran No.24A, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",Mantrijeron,"Restoran Eropa,Restoran Mediterania,Restoran Masakan Barat","(0274) 371052, +62 274 371052",7533,4.7,https://www.google.com/maps?cid=10482932962706298683,-7.818566,110.3645276,http://www.mrbykamil.com/,mrbykamil.com,"Rabu:[08.00-23.00], Kamis:[08.00-23.00], Jumat:[08.00-23.00], Sabtu:[08.00-23.00], Minggu:[08.00-23.00], Senin:[08.00-23.00], Selasa:[08.00-23.00]","tempat parkir, wifi, colokan",5,5
Nanamia Pizzeria,"Jl. Tirtodipuran No.1, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",Mantrijeron,"Restoran Italia,Restoran Eropa,Restoran Pizza","0812-6694-3697, +62 812-6694-3697",7383,4.7,https://www.google.com/maps?cid=16257301333968807421,-7.8180926,110.3626235,http://www.pizzeriananamia.com/,pizzeriananamia.com,"Rabu:[10.00-22.00], Kamis:[10.00-22.00], Jumat:[10.00-22.00], Sabtu:[10.00-22.00], Minggu:[10.00-22.00], Senin:[10.00-22.00], Selasa:[10.00-22.00]","tempat parkir, wifi, colokan",3,5
Nanamia Pizzeria Jogja (North Area),"Jl. Moses Gatotkaca No.B 9 - 14, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Mrican, Caturtunggal","Restoran Italia,Restoran Eropa,Restoran Pizza","0813-3752-3726, +62 813-3752-3726",4161,4.6,https://www.google.com/maps?cid=5214318087744415075,-7.7762145,110.3910246,http://www.pizzeriananamia.com/,pizzeriananamia.com,"Rabu:[10.00-22.00], Kamis:[10.00-22.00], Jumat:[10.00-22.00], Sabtu:[10.00-22.00], Minggu:[10.00-22.00], Senin:[10.00-22.00], Selasa:[10.00-22.00]","tempat parkir, wifi, colokan",3,5
Warung Burjo DM,"Jl. Monjali No.54, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Kutu Dukuh, Sinduadi",Restoran,"0895-3773-01872, +62 895-3773-01872",135,4.4,https://www.google.com/maps?cid=7529340145192650965,-7.7650843,110.3687819,,,"Rabu:[Buka 24 jam], Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam]",tempat parkir,1,1
Warung Burjo Duta Rasa Grup,"69G6+VW2, Karangwaru, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55241",Karangwaru,Restoran,,7,3.7,https://www.google.com/maps?cid=1252462384755986375,-7.7728677,110.3622671,,,"Rabu:[06.00-23.00], Kamis:[06.00-23.00], Jumat:[06.00-23.00], Sabtu:[06.00-23.00], Minggu:[06.00-23.00], Senin:[06.00-00.00], Selasa:[06.00-23.00]",tempat parkir,1,1
Burjo Melati,"69R9+M5X, Unnamed Road, Kutu Tegal, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Unnamed Road,Restoran,,67,4.4,https://www.google.com/maps?cid=10112689260288823183,-7.7582608,110.3679937,,,"Rabu:[Buka 24 jam], Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam]",tempat parkir,1,1
Warung Burjo Mirasa,"Jl. Magelang No.Km. 4, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Kutu Dukuh, Sinduadi",Rumah Makan,"0812-2768-511, +62 812-2768-511",2,4,https://www.google.com/maps?cid=11327963983617987981,-7.766977,110.363177,,,"Rabu:[07.00-17.00], Kamis:[07.00-17.00], Jumat:[07.00-17.00], Sabtu:[07.00-17.00], Minggu:[Tutup], Senin:[07.00-17.00], Selasa:[07.00-17.00]",tempat parkir,1,1
Burjo Murni Monjali 54,"Jl. Monumen Jogja Kembali 49 No.54 B, Gemawang, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Gemawang, Sinduadi",Rumah Makan,"0856-1888-5299, +62 856-1888-5299",27,4.3,https://www.google.com/maps?cid=10542897090390449074,-7.7563103,110.3697148,,,"Rabu:[Buka 24 jam], Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam]",tempat parkir,1,1
Burjo Murno,"Jl. Magelang No.58, Kutu Tegal, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Kutu Tegal, Sinduadi",Rumah Makan,,1,5,https://www.google.com/maps?cid=18446605121163239020,-7.7552712,110.3619177,,,"Rabu:[Buka 24 jam], Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam]",tempat parkir,1,1
Burjo Andeska Kranggan,"Jl. A.M. Sangaji No.5, Kutu Dukuh, Gowongan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233","Kutu Dukuh, Gowongan",Kafe,,127,4.2,https://www.google.com/maps?cid=10139149896240054354,-7.7664605,110.3690091,,,"Rabu:[Buka 24 jam], Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam]",tempat parkir,1,1
Burjo PS,"Jl. A.M. Sangaji No.90, Cokrodiningratan, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55241",Cokrodiningratan,Restoran Indonesia,,7,5,https://www.google.com/maps?cid=4611804240981631888,-7.7721452,110.3683885,,,"Rabu:[Buka 24 jam], Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam]",tempat parkir,1,1
RM Padang SAKATO,"Jl. Magelang KM.4,4, Rogoyudan, Sinduadi, Kec. Mlati, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55284","Rogoyudan, Sinduadi",Restoran Padang,"0818-927-915, +62 818-927-915",116,4.8,https://www.google.com/maps?cid=3008825350757430404,-7.766924,110.3626193,,,"Rabu:[09.00-20.00], Kamis:[09.00-20.00], Jumat:[09.00-20.00], Sabtu:[09.00-20.00], Minggu:[09.00-20.00], Senin:[09.00-20.00], Selasa:[09.00-20.00]",tempat parkir,1,2
Rumah Makan Padang Murah,"Jalan Monjali No.#106, Gemawang, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Gemawang, Sinduadi","Restoran Padang,Rumah Makan",,1160,4.5,https://www.google.com/maps?cid=15333798128857694880,-7.761282,110.369261,,,"Rabu:[08.00-23.00], Kamis:[08.00-23.00], Jumat:[08.00-23.00], Sabtu:[08.00-23.00], Minggu:[08.00-23.00], Senin:[08.00-23.00], Selasa:[08.00-23.00]",tempat parkir,1,2
RM Padang Tanjuang,"Jl. A.M. Sangaji No.72a, Karangwaru, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Karangwaru,"Restoran Padang,Rumah Makan,Restoran Ikan Bakar","0813-2884-9432, +62 813-2884-9432",61,4.6,https://www.google.com/maps?cid=4073621623083169726,-7.7732782,110.3682913,,,"Rabu:[08.00-22.00], Kamis:[08.00-22.00], Jumat:[08.00-22.00], Sabtu:[08.00-22.00], Minggu:[08.00-22.00], Senin:[08.00-22.00], Selasa:[08.00-22.00]",tempat parkir,1,2
Rumah Makan Diploma Minang,"Jl. Jati Mataram No.287, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Kutu Dukuh, Sinduadi","Restoran Padang,Rumah Makan",,40,3.7,https://www.google.com/maps?cid=2332328902507738614,-7.7618566,110.3675656,,,"Rabu:[08.00-21.00], Kamis:[08.00-21.00], Jumat:[08.00-21.00], Sabtu:[08.00-21.00], Minggu:[08.00-21.00], Senin:[08.00-21.00], Selasa:[08.00-21.00]",tempat parkir,1,2
RM Duta Minang,"Jalan Magelang Km. 4 No.218, Sinduadi, Mlati, Rogoyudan, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Rogoyudan, Sinduadi","Restoran Padang,Rumah Makan","(0274) 580243, +62 274 580243",1088,4.4,https://www.google.com/maps?cid=14786480710186272481,-7.767723,110.361664,http://www.dutaminang.com/,dutaminang.com,"Rabu:[Buka 24 jam], Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam]",tempat parkir,3,4
warung makan padang meriah,"Jl. Monjali No.177, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Kutu Dukuh, Sinduadi",Restoran Padang,"0895-3781-89184, +62 895-3781-89184",5,3.4,https://www.google.com/maps?cid=15206477069151861746,-7.768335,110.3689352,,,"Rabu:[10.00-23.30], Kamis:[10.00-23.30], Jumat:[10.00-23.30], Sabtu:[10.00-23.30], Minggu:[10.00-23.30], Senin:[10.00-23.30], Selasa:[10.00-23.30]",tempat parkir,1,2
RM Padang Lima Sekawan,"Jl. Agro No.7, Kocoran, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Kocoran, Caturtunggal",Restoran Padang,"0815-8026-396, +62 815-8026-396",461,4.5,https://www.google.com/maps?cid=15033935465006459628,-7.7660167,110.3798349,,,"Rabu:[08.00-20.00], Kamis:[08.00-20.00], Jumat:[08.00-20.00], Sabtu:[08.00-20.00], Minggu:[08.00-20.00], Senin:[08.00-20.00], Selasa:[08.00-20.00]",tempat parkir,1,2
Warung Makan Padang Sendowo,"Jl. Sendowo F No.129, Sendowo, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Sendowo, Sinduadi",Restoran Padang,"0878-1004-5900, +62 878-1004-5900",324,4.7,https://www.google.com/maps?cid=9424138932461151199,-7.7712505,110.3709031,,,"Rabu:[08.00-18.00], Kamis:[08.00-18.00], Jumat:[08.00-18.00], Sabtu:[08.00-18.00], Minggu:[08.00-18.00], Senin:[08.00-18.00], Selasa:[08.00-18.00]",tempat parkir,1,2
Rumah Makan Padang Simpang Raya Tugu,"Jl. Magelang No.109, Karangwaru, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55242",Karangwaru,"Restoran Padang,Rumah Makan,Restoran Sate",,302,4.5,https://www.google.com/maps?cid=4184410880808336751,-7.7744468,110.3610122,,,"Rabu:[09.00-23.00], Kamis:[09.00-23.00], Jumat:[09.00-23.00], Sabtu:[09.00-23.00], Minggu:[09.00-23.00], Senin:[09.00-23.00], Selasa:[09.00-23.00]",tempat parkir,1,2
Rumah Makan Padang Sederhana Jogja,"Jl. Kaliurang No.5, RW.6, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","RW.6, Manggung, Caturtunggal",Restoran Padang,"(0274) 550000, +62 274 550000",3839,4.5,https://www.google.com/maps?cid=8229667722706303150,-7.7572944,110.382419,http://www.restoransederhana.id/,restoransederhana.id,"Rabu:[08.00-22.00], Kamis:[08.00-22.00], Jumat:[08.00-22.00], Sabtu:[08.00-22.00], Minggu:[08.00-22.00], Senin:[08.00-22.00], Selasa:[08.00-22.00]",tempat parkir,3,4
McDonald's Jakal,"Jl. Kaliurang No.KM. 5, Kocoran, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Kocoran, Sinduadi","Restoran Cepat Saji,Restoran","0811-1786-136, +62 811-1786-136",9579,4.4,https://www.google.com/maps?cid=11798101668060338928,-7.7625093,110.3796601,http://www.mcdonalds.co.id/,mcdonalds.co.id,"Rabu:[Buka 24 jam], Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
McDonald's Sudirman Yogyakarta,"Jl. Jend. Sudirman No.38, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",Kotabaru,"Restoran Cepat Saji,Kedai Sarapan","0811-1927-525, +62 811-1927-525",16129,4.5,https://www.google.com/maps?cid=9913621941678472817,-7.7832862,110.371683,http://www.mcdonalds.co.id/,mcdonalds.co.id,"Rabu:[Buka 24 jam], Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
McDonald's Jombor,"Jl. Magelang, Mlati Dukuh, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Mlati Dukuh, Sendangadi","Restoran Cepat Saji,Restoran","(0274) 868197, +62 274 868197",15901,4.5,https://www.google.com/maps?cid=13471149402686046343,-7.7486123,110.3618043,http://www.mcdelivery.co.id/,mcdelivery.co.id,"Rabu:[Buka 24 jam], Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
McDonald's Plaza Malioboro,"Malioboro Jogja Ground Floor, Jl. Malioboro No.52-58, Suryatmajan, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55213",Jl. Malioboro No.52-58,Restoran Cepat Saji,"0811-1927-345, +62 811-1927-345",5309,4.4,https://www.google.com/maps?cid=10482433129875797537,-7.7928329,110.36599,http://www.mcdonalds.co.id/,mcdonalds.co.id,"Rabu:[07.00-00.00], Kamis:[07.00-00.00], Jumat:[07.00-00.00], Sabtu:[07.00-00.00], Minggu:[07.00-00.00], Senin:[07.00-00.00], Selasa:[07.00-00.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
McDonald's Jombor,"Kutu Patran, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",Kec. Mlati,Restoran Cepat Saji,,28,4.1,https://www.google.com/maps?cid=17852905145664345783,-7.7533504,110.3612953,https://mcdonalds.co.id/,mcdonalds.co.id,"Rabu:[10.00-22.00], Kamis:[10.00-22.00], Jumat:[10.00-22.00], Sabtu:[10.00-22.00], Minggu:[10.00-22.00], Senin:[10.00-22.00], Selasa:[10.00-22.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
McDonald's Sultan Agung,"Jl. Sultan Agung No.24, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55151",Wirogunan,Restoran Cepat Saji,"0811-9700-6401, +62 811-9700-6401",8387,4.6,https://www.google.com/maps?cid=4328030021625683500,-7.801962,110.3746504,http://www.mcdelivery.co.id/,mcdelivery.co.id,"Rabu:[Buka 24 jam], Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
McDonald's Ambarukmo,"Jl. Laksda Adisucipto No.21, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Ambarukmo, Caturtunggal","Restoran Cepat Saji,Restoran Amerika","0811-8162-853, +62 811-8162-853",11554,4.5,https://www.google.com/maps?cid=2198282055308373309,-7.7829892,110.4070368,http://www.mcdonalds.co.id/,mcdonalds.co.id,"Rabu:[Buka 24 jam], Kamis:[Buka 24 jam], Jumat:[Buka 24 jam], Sabtu:[Buka 24 jam], Minggu:[Buka 24 jam], Senin:[Buka 24 jam], Selasa:[Buka 24 jam]","tempat parkir, colokan, wifi, mushalla / tempat shalat, tempat bermain anak",3,5
McDonald's Ice Cream Galeria Mall,"Matahari Galeri Yogya, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",Terban,"Restoran Cepat Saji,Restoran","14045, +62 14045",131,4.5,https://www.google.com/maps?cid=14039557704653364064,-7.7825987,110.3791337,https://www.mcdonalds.co.id/,mcdonalds.co.id,"Rabu:[10.00-22.00], Kamis:[10.00-22.00], Jumat:[10.00-22.00], Sabtu:[10.00-22.00], Minggu:[10.00-22.00], Senin:[10.00-22.00], Selasa:[10.00-22.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
McDonald's Ambarrukmo Plaza,"Ambarrukmo Plaza Lantai LG, Jalan Laksda Adisucipto Km.6, Sleman, Ambarukmo, Caturtunggal, Kec. Depok, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55281","Ambarukmo, Caturtunggal","Toko Es Krim,Restoran Cepat Saji",,281,4.4,https://www.google.com/maps?cid=10828090645982610039,-7.78277,110.401319,http://www.mcdonalds.co.id/,mcdonalds.co.id,"Rabu:[10.00-22.00], Kamis:[10.00-22.00], Jumat:[10.00-22.00], Sabtu:[10.00-22.00], Minggu:[10.00-22.00], Senin:[10.00-22.00], Selasa:[10.00-22.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
McDonald's Sleman City Hall,"Ice Cream McDonald's - Sleman City Hall Atrium GF, Jalan Magelang KM 9.6 No.18, Penggung, Tridadi, Sleman, Sleman Regency, Special Region of Yogyakarta 55511","Penggung, Tridadi",Restoran Cepat Saji,,13,4.8,https://www.google.com/maps?cid=9588067747903283940,-7.7201094,110.3619791,,,"Rabu:[10.00-22.00], Kamis:[10.00-22.00], Jumat:[10.00-22.00], Sabtu:[10.00-22.00], Minggu:[10.00-22.00], Senin:[10.00-22.00], Selasa:[10.00-22.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
Pizza Hut Jakal,"Jl. Kaliurang No.KM.5, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Manggung, Caturtunggal","Restoran Pizza,Restoran","0811-3249-503, +62 811-3249-503",5425,4.6,https://www.google.com/maps?cid=2010738275810009152,-7.7563627,110.3822551,https://www.pizzahut.co.id/,pizzahut.co.id,"Rabu:[09.00-22.00], Kamis:[09.00-22.00], Jumat:[07.00-22.00], Sabtu:[07.00-22.00], Minggu:[07.00-22.00], Senin:[09.00-22.00], Selasa:[09.00-22.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
Pizza Hut Jogja City Mall,"Jogja City Mall Jalan Magelang No.Km 6 No 18, Kutu Patran, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284","Kutu Patran, Sinduadi","Restoran Pizza,Restoran","0811-3453-375, +62 811-3453-375",2123,4.6,https://www.google.com/maps?cid=1160518547658056030,-7.7534194,110.3611861,https://www.pizzahut.co.id/,pizzahut.co.id,"Rabu:[10.00-21.00], Kamis:[10.00-21.00], Jumat:[10.00-21.00], Sabtu:[10.00-21.00], Minggu:[10.00-21.00], Senin:[10.00-21.00], Selasa:[10.00-21.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
Pizza Hut Sudirman,"Jl. Jend. Sudirman No.65, Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55223",Terban,"Restoran Pizza,Restoran","0811-3249-304, +62 811-3249-304",6097,4.6,https://www.google.com/maps?cid=12217079829125933030,-7.7826665,110.3736392,https://www.pizzahut.co.id/,pizzahut.co.id,"Rabu:[09.00-22.00], Kamis:[09.00-22.00], Jumat:[07.00-22.00], Sabtu:[07.00-22.00], Minggu:[07.00-22.00], Senin:[09.00-22.00], Selasa:[09.00-22.00]","tempat parkir, colokan, wifi, mushalla / tempat shalat",3,5
Pizza Hut Delivery - PHD Godean,"Jl. Kyai Mojo No.91, Tegalrejo, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55244",Tegalrejo,"Stan Pizza,Pengiriman Makanan,Restoran Pesan-Bawa,Layanan Pesan-Antar Pizza","1 500 600, +62 1 500 600",1449,4.6,https://www.google.com/maps?cid=5900129315037835337,-7.7817329,110.3520159,https://www.pizzahut.co.id/,pizzahut.co.id,"Rabu:[10.00-00.00], Kamis:[10.00-00.00], Jumat:[10.00-00.00], Sabtu:[10.00-00.00], Minggu:[10.00-00.00], Senin:[10.00-00.00], Selasa:[10.00-00.00]",tempat parkir,3,5
Pizza Hut Delivery - PHD Colombo,"Jl. Colombo Yogyakarta Jl. Samironobaru No.6D, Samirono, Caturtunggal, Kec. Depok, Jawa Tengah, Daerah Istimewa Yogyakarta 55281","Samirono, Caturtunggal","Stan Pizza,Pengiriman Makanan,Restoran Pesan-Bawa,Layanan Pesan-Antar Pizza","1 500 600, +62 1 500 600",1274,4.6,https://www.google.com/maps?cid=5232426881934856532,-7.7778155,110.3858989,https://www.pizzahut.co.id/,pizzahut.co.id,"Rabu:[10.00-23.00], Kamis:[10.00-23.00], Jumat:[10.00-23.00], Sabtu:[10.00-23.00], Minggu:[10.00-23.00], Senin:[10.00-23.00], Selasa:[10.00-23.00]",tempat parkir,3,5
Pizza Hut Sultan Agung,"Jl. Sultan Agung No.58, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55151",Wirogunan,"Restoran Pizza,Restoran","0811-3483-505, +62 811-3483-505",6013,4.5,https://www.google.com/maps?cid=3489869389354340360,-7.8021251,110.3797304,https://www.pizzahut.co.id/,pizzahut.co.id,"Rabu:[09.00-22.00], Kamis:[09.00-22.00], Jumat:[09.00-22.00], Sabtu:[09.00-22.00], Minggu:[09.00-22.00], Senin:[09.00-22.00], Selasa:[09.00-22.00]",tempat parkir,3,5
Pizza Hut Ambarukmo,"Jl. Laksda Adisucipto No.29, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Ambarukmo, Caturtunggal","Restoran Pizza,Restoran","0811-9814-113, +62 811-9814-113",140,4.2,https://www.google.com/maps?cid=6890331302054937857,-7.7829653,110.4073845,https://www.pizzahut.co.id/,pizzahut.co.id,"Rabu:[10.00-22.00], Kamis:[10.00-22.00], Jumat:[10.00-22.00], Sabtu:[10.00-22.00], Minggu:[10.00-22.00], Senin:[10.00-22.00], Selasa:[10.00-22.00]",tempat parkir,3,5
